Application,Cores,Running Time
cg.C.x,64,4.668338060379028
cg.C.x,60,5.0736284255981445
cg.C.x,56,4.971052169799805
cg.C.x,52,5.357791423797607
cg.C.x,48,6.452093124389648
cg.C.x,44,6.387373685836792
cg.C.x,40,6.486030578613281
cg.C.x,36,6.766386985778809
cg.C.x,32,4.469117164611816
cg.C.x,16,8.737968444824219
cg.C.x,8,19.098469495773315
cg.C.x,4,23.419636487960815
ep.C.x,64,2.5802762508392334
ep.C.x,60,4.611314296722412
ep.C.x,56,4.60305643081665
ep.C.x,52,3.6889750957489014
ep.C.x,48,4.354565382003784
ep.C.x,44,4.801428556442261
ep.C.x,40,5.5421082973480225
ep.C.x,36,5.92563533782959
ep.C.x,32,4.1917524337768555
ep.C.x,16,7.742326259613037
ep.C.x,8,14.837982892990112
ep.C.x,4,29.324050664901733
mg.C.x,64,3.7738466262817383
mg.C.x,60,4.025173187255859
mg.C.x,56,4.311940908432007
mg.C.x,52,4.277137756347656
mg.C.x,48,4.435353994369507
mg.C.x,44,4.074123859405518
mg.C.x,40,4.366873502731323
mg.C.x,36,4.242124795913696
mg.C.x,32,3.483098268508911
mg.C.x,16,7.156522274017334
mg.C.x,8,11.752140760421753
mg.C.x,4,12.521670579910278
