PAPI_L1_DCM, PAPI_L2_DCM
41008,5833
43128,5370
42189,5703
50336,5247
42928,5542
42370,5782
43161,5557
43674,5486
41516,5727
41147,5461
41896,6054
41965,5479
41817,5497
43081,5337
42689,5624
42139,5556
42183,5524
42175,5670
42048,5428
42813,5631
45369,5106
42168,5236
40142,5165
40917,5248
41092,5888
39131,5004
39242,5538
39951,5434
38523,5492
39867,5570
38331,5621
38418,5057
31032,5913
30743,6054
29658,5815
29697,5773
29817,5802
29264,5840
29280,5612
30289,5452
28958,5382
29763,5562
29465,5456
29729,3642
29726,6460
30042,5358
29016,3801
30415,5723
29316,5583
29916,5397
28855,3551
30806,5967
28791,5353
29024,5483
28126,4059
27968,3695
27829,6592
27583,5519
27337,3595
29552,6169
26710,5335
23184,3044
26776,5104
27260,5572
