PAPI_L1_DCM, PAPI_L2_DCM
255324,12069
247949,9690
259864,10554
251829,9998
262131,10416
261761,11291
253964,10069
258113,9846
252589,10152
258314,9030
255125,11260
257876,9296
253610,10007
248990,11668
261170,12074
253443,10086
260316,11528
254225,10364
257893,9621
250508,10019
255323,9907
257763,10266
258645,11139
249675,9772
254841,9306
254988,10463
249213,8728
247685,9901
257796,9703
251915,13740
249033,10981
257083,9807
178677,9132
179376,9343
180282,9369
178764,8182
179064,8269
157541,6025
179542,10230
177960,10562
182635,10842
176763,9836
179608,10815
156681,5367
178896,8604
180454,9738
179539,8811
176704,10310
180566,9926
179798,9716
179157,9283
175049,9366
177623,10726
177174,9661
180816,9227
175828,10973
179914,8838
176434,8172
177007,8731
176991,5683
178255,6053
175472,10331
177157,10386
176623,8845
